koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
CANDIDATE,0.998,0,0,0,0,4.02745396,2.588e-05,-2.588e-05,133.12194,0.00468,-0.00468,2454966.122,0.00468,-0.00468,0.0,,,,,,0.304,0.152,-0.304,1.33,0.2,-0.2,,,,85.2,9.6,-9.6,0.008577,0.000312,-0.00085,12.86387,37.53133,-6.49001,0.98,0.3,-0.14,0.0494,,,89.22,,,1250.0,,,577.46,536.1,-197.5,22.3,10.8,-10.8,0.0,0.0,0.3058,0.3071,3.2048519,9.801798,10.8,1,332.0,1.0,0.8527,,,6174.0,175.0,-197.0,4.398,0.105,-0.195,-0.28,0.3,-0.3,1.041,0.326,-0.14,0.987,0.147,-0.12,,,,300.6496,44.05574,13.685,14.104,13.647,13.506,13.452,12.627,12.317,12.251,0.138,20.043286,3.3e-05,44.05596,0.00034,-0.8,1.3,0.8,1.2,0.00013,0.00011,-7e-05,0.00011,-1.04,0.72,-0.15,0.63,1.05,0.7,-1.08,0.73,-0.18,0.62,1.1,0.73
CANDIDATE,1.0,0,0,0,0,186.4361811,0.000489,-0.000489,146.91825,0.00207,-0.00207,2454979.918,0.00207,-0.00207,0.0,,,,,,0.921,0.024,-0.014,5.774,0.157,-0.157,,,,4347.0,114.0,-114.0,0.075675,0.006964,-0.00613,1.40518,0.08011,-0.42986,11.32,1.8,-3.35,0.6233,,,89.62,,,353.0,,,3.66,1.55,-1.93,137.19,7.8,-7.8,0.0,0.0,0.2286,0.4641,31.873058,59.845184,66.5,1,8.0,1.0,0.7808,,,5393.0,80.0,-64.0,4.132,0.28,-0.12,0.18,0.15,-0.1,1.37,0.218,-0.405,0.926,0.053,-0.048,,,,290.12857,40.021832,15.402,15.957,15.343,15.164,15.071,14.067,13.651,13.639,0.0,19.3419053,5.2e-06,40.021687,5.6e-05,0.0,0.21,-0.52,0.2,0.0009,0.0014,0.0017,0.0016,0.17,0.15,-0.23,0.14,0.29,0.14,0.2,0.15,-0.3,0.15,0.35,0.15
CANDIDATE,,0,0,0,0,143.163697,0.0024,-0.0024,243.7133,0.0117,-0.0117,2455076.713,0.0117,-0.0117,0.0,,,,,,0.9527,0.0007,-0.6851,4.854,0.43,-0.43,,,,390.3,33.8,-33.8,0.023971,0.000132,-0.007033,0.55812,12.05051,-0.02377,20.03,0.88,-5.29,0.7172,,,89.38,,,741.0,,,71.41,12.97,-39.85,84.6,41.5,-41.5,0.0,0.0,0.1917,0.5193,,,12.9,1,,1.0,,,,5145.0,106.0,-254.0,3.05,0.03,-0.031,0.07,0.17,-0.35,7.653,0.334,-2.023,2.394,0.177,-1.089,,,,297.78833,40.130909,12.644,13.494,12.579,12.279,12.079,10.972,10.432,10.346,0.581,19.852549,1.3e-05,40.13093,0.00014,-0.22,0.53,0.08,0.5,0.00012,0.00022,1e-05,0.00022,0.07,0.46,-0.2,0.49,0.21,0.48,0.13,0.45,-0.29,0.48,0.32,0.48
CANDIDATE,0.953,0,0,0,0,5.29655591,8.52e-05,-8.52e-05,131.8704,0.0141,-0.0141,2454964.87,0.0141,-0.0141,0.0,,,,,,0.37,0.08,-0.37,3.93,0.315,-0.315,,,,135.4,17.2,-17.2,0.010809,0.000566,-0.001039,0.61616,0.26539,-0.35232,1.3,0.43,-0.15,0.063,,,87.81,,,1156.0,,,421.14,411.8,-140.13,9.7,4.2,-4.2,0.0,0.0,0.3024,0.3288,3.1911178,7.3679533,9.3,1,247.0,1.0,0.762,,,6268.0,173.0,-260.0,4.429,0.054,-0.216,0.07,0.25,-0.3,1.1,0.365,-0.122,1.188,0.158,-0.158,,,,296.82037,49.75045,15.591,16.05,15.538,15.395,15.346,14.438,14.195,13.99,0.14,19.788046,4e-05,49.75017,0.00045,0.8,1.4,-1.0,1.6,-8e-05,0.00019,0.00022,0.00023,1.06,0.96,-0.42,0.82,1.15,0.94,1.0,1.0,-0.41,0.76,1.08,0.94
CANDIDATE,0.975,0,0,0,0,11.1619384,0.0001677,-0.0001677,133.5538,0.013,-0.013,2454966.554,0.013,-0.013,0.0,,,,,,0.739,0.235,-0.532,5.195,0.407,-0.407,,,,124.4,10.9,-10.9,0.011022,0.003832,-0.000893,0.22251,0.47173,-0.21531,1.97,0.34,-0.41,0.1027,,,86.27,,,1093.0,,,337.23,163.6,-142.69,11.36,4.8,-4.8,0.0,0.0,0.303,0.3166,3.3152983,7.976483,13.4,3,114.0,3.0,0.1481,,,6200.0,124.0,-124.0,4.072,0.188,-0.101,-0.06,0.15,-0.15,1.64,0.281,-0.343,1.158,0.14,-0.105,,,,295.21268,49.56218,13.374,13.587,13.303,13.251,13.277,12.455,12.263,12.228,0.572,19.680831,1.7e-05,49.56211,0.00018,-0.5,0.6,-0.25,0.65,4.6e-05,5.5e-05,8e-06,6e-05,0.01,0.27,-0.04,0.43,0.04,0.44,-0.03,0.26,-0.09,0.41,0.1,0.39
CANDIDATE,1.0,0,0,0,0,26.89316101,1.622e-05,-1.622e-05,179.95245,0.000451,-0.000451,2455012.952,0.000451,-0.000451,0.0,,,,,,0.98,0.122,-0.033,2.3266,0.0379,-0.0379,,,,2193.2,24.3,-24.3,0.068343,0.096944,-0.014568,1.3904,0.78845,-0.43895,6.78,2.14,-0.72,0.1743,,,88.51,,,614.0,,,33.54,31.06,-9.8,37.6,10.7,-10.7,0.0,0.0,0.2965,0.3342,27.222822,121.594765,119.6,1,39.0,1.0,0.4751,,,6096.0,164.0,-183.0,4.511,0.054,-0.216,-0.34,0.3,-0.3,0.908,0.287,-0.096,0.975,0.118,-0.13,,,,297.49216,46.694519,13.754,14.169,13.708,13.576,13.521,12.633,12.335,12.209,0.122,19.8328104,3.2e-06,46.694521,3.3e-05,-0.01,0.12,0.0,0.12,-0.00037,0.00033,-0.0001,0.00039,0.26,0.1,-0.03,0.085,0.26,0.1,0.16,0.11,-0.012,0.084,0.16,0.1
CANDIDATE,0.525,0,0,0,0,384.37706,0.01284,-0.01284,309.208,0.0175,-0.0175,2455142.208,0.0175,-0.0175,0.0,,,,,,0.901,0.03,-0.629,15.139,0.531,-0.531,,,,1204.9,61.9,-61.9,0.038788,0.003907,-0.007467,0.12904,1.18057,-0.055,50.93,3.15,-8.83,1.2098,,,89.49,,,676.0,,,49.27,8.99,-18.31,100.3,48.3,-48.3,0.0,0.0,0.1561,0.5684,6.4048886,8.551403,22.6,1,3.0,1.0,0.0285,,,4859.0,58.0,-101.0,2.481,0.033,-0.027,-0.46,0.15,-0.15,12.023,0.744,-2.084,1.594,0.213,-0.496,,,,287.59253,48.886459,12.656,13.468,12.611,12.307,12.117,11.031,10.467,10.358,0.286,19.1728365,5e-06,48.886493,4e-05,0.02,0.18,0.12,0.14,0.0,0.00057,0.00017,0.00081,-0.02,0.18,-0.42,0.38,0.42,0.38,-0.02,0.17,-0.26,0.39,0.26,0.39
CANDIDATE,,0,0,0,0,369.93355,0.02925,-0.02925,175.282,0.0606,-0.0606,2455008.282,0.0606,-0.0606,0.0,,,,,,0.149,0.3159,-0.149,7.6,4.8,-4.8,,,,995.0,206.0,-206.0,0.028954,0.000318,-0.007217,7.49308,0.10822,-6.97049,3.24,1.56,-0.31,1.0371,,,89.95,,,270.0,,,1.25,1.82,-0.37,378.46,5.5,-5.5,0.0,0.0,0.299,0.3328,,,15.8,1,,1.0,,,,6158.0,171.0,-237.0,4.453,0.049,-0.317,-0.08,0.22,-0.3,1.024,0.493,-0.098,1.08,0.232,-0.137,,,,293.96146,42.806419,15.524,16.027,15.495,15.309,15.29,14.37,13.984,13.907,0.0,19.597338,2.4e-05,42.80651,0.00025,-3.66,0.97,0.34,0.91,0.0039,0.001,8e-05,0.001,5.04,0.34,0.37,0.28,5.06,0.34,5.11,0.34,0.59,0.28,5.14,0.34
CANDIDATE,0.79,0,0,0,0,7.23524221,4.586e-05,-4.586e-05,135.23173,0.00519,-0.00519,2454968.232,0.00519,-0.00519,0.0,,,,,,0.182,0.264,-0.182,2.685,0.169,-0.169,,,,60.0,4.4,-4.4,0.007012,0.000429,-0.00024,3.06646,0.57751,-1.39258,0.82,0.12,-0.12,0.0716,,,89.49,,,948.0,,,191.14,85.18,-59.91,20.4,3.8,-3.8,0.0,0.0,0.2291,0.4603,5.8705406,9.036653,15.2,5,137.0,5.0,0.0797,,,5574.0,111.0,-100.0,4.354,0.132,-0.108,0.12,0.15,-0.15,1.065,0.166,-0.15,0.933,0.067,-0.053,,,,285.72849,42.65453,12.639,13.122,12.586,12.432,12.373,11.421,11.034,10.989,0.153,19.04856,2.1e-05,42.65475,0.00024,-0.26,0.85,0.8,0.87,1e-05,4.7e-05,-5e-05,4.8e-05,-0.36,0.9,0.7,1.3,0.8,1.5,-0.42,0.95,0.5,1.3,0.7,1.5
CANDIDATE,0.176,0,0,0,0,285.374561,0.003498,-0.003498,311.29883,0.00795,-0.00795,2455144.299,0.00795,-0.00795,0.0,,,,,,0.018,0.437,-0.018,4.865,0.324,-0.324,,,,482.3,41.3,-41.3,0.019732,0.001117,-0.001142,22.15039,1.17337,-11.25411,5.94,3.64,-4.46,0.7937,,,90.0,,,423.0,,,7.54,14.0,-7.13,456.9,24.2,-24.2,0.0,0.0,0.236,0.4473,4.734784,7.220403,13.7,1,5.0,1.0,0.6298,,,5142.0,120.0,-180.0,3.47,1.232,-0.308,-0.66,0.25,-0.35,2.756,1.691,-2.067,0.817,0.234,-0.191,,,,295.51764,42.758942,13.863,14.625,13.845,13.537,13.329,12.21,11.702,11.596,0.514,19.701165,2e-05,42.75883,0.0002,-0.4,0.78,-0.4,0.72,0.00024,0.00039,0.00013,0.00037,0.22,0.31,0.1,0.52,0.25,0.36,0.18,0.31,0.03,0.52,0.19,0.31
